summary,views,670,86
summary,clones,317,284
timestamp,type,count,uniques
2025-07-22T00:00:00Z,clones,52,42
2025-07-22T00:00:00Z,views,203,3
2025-07-23T00:00:00Z,clones,1,1
2025-07-24T00:00:00Z,clones,33,26
2025-07-24T00:00:00Z,views,146,26
2025-07-25T00:00:00Z,clones,1,1
2025-07-25T00:00:00Z,views,13,2
2025-07-26T00:00:00Z,clones,1,1
2025-07-26T00:00:00Z,views,1,1
2025-07-27T00:00:00Z,clones,1,1
2025-07-27T00:00:00Z,views,1,1
2025-07-28T00:00:00Z,clones,5,5
2025-07-28T00:00:00Z,views,1,1
2025-07-29T00:00:00Z,clones,3,3
2025-07-30T00:00:00Z,clones,7,7
2025-07-30T00:00:00Z,views,67,1
2025-07-31T00:00:00Z,clones,4,4
2025-07-31T00:00:00Z,views,12,1
2025-08-01T00:00:00Z,clones,4,4
2025-08-02T00:00:00Z,clones,1,1
2025-08-03T00:00:00Z,clones,5,5
2025-08-03T00:00:00Z,views,4,2
2025-08-04T00:00:00Z,clones,4,4
2025-08-04T00:00:00Z,views,4,2
2025-08-05T00:00:00Z,clones,1,1
2025-08-05T00:00:00Z,views,13,5
2025-08-06T00:00:00Z,clones,2,2
2025-08-06T00:00:00Z,views,1,1
2025-08-07T00:00:00Z,clones,2,2
2025-08-07T00:00:00Z,views,3,1
2025-08-08T00:00:00Z,clones,1,1
2025-08-09T00:00:00Z,clones,3,3
2025-08-10T00:00:00Z,clones,4,4
2025-08-10T00:00:00Z,views,2,1
2025-08-11T00:00:00Z,clones,2,2
2025-08-12T00:00:00Z,clones,2,2
2025-08-12T00:00:00Z,views,2,2
2025-08-13T00:00:00Z,clones,2,2
2025-08-14T00:00:00Z,clones,2,2
2025-08-14T00:00:00Z,views,1,1
2025-08-15T00:00:00Z,clones,1,1
2025-08-16T00:00:00Z,clones,1,1
2025-08-17T00:00:00Z,clones,1,1
2025-08-18T00:00:00Z,clones,1,1
2025-08-19T00:00:00Z,clones,1,1
2025-08-20T00:00:00Z,clones,1,1
2025-08-21T00:00:00Z,clones,2,2
2025-08-21T00:00:00Z,views,6,1
2025-08-22T00:00:00Z,clones,2,2
